code,name,date,area_ha
10627,Submédio São Francisco,4/1987,90796.02022816108
10628,Médio São Francisco,4/1987,400292.2008290895
10629,Alto São Francisco,4/1987,136975.6461082713
10626,Baixo São Francisco,5/1987,31845.68808296344
10627,Submédio São Francisco,5/1987,93598.314380058
10628,Médio São Francisco,5/1987,401421.1727579932
10629,Alto São Francisco,5/1987,141334.6823310623
10626,Baixo São Francisco,6/1987,27905.284866189864
10627,Submédio São Francisco,6/1987,94276.68863412784
10628,Médio São Francisco,6/1987,395427.2266801408
10629,Alto São Francisco,6/1987,139458.94852790266
10626,Baixo São Francisco,7/1987,24753.5501082148
10627,Submédio São Francisco,7/1987,92011.90307504046
10628,Médio São Francisco,7/1987,398996.2312056528
10629,Alto São Francisco,7/1987,141603.35413276308
10626,Baixo São Francisco,8/1987,30192.508530326173
10627,Submédio São Francisco,8/1987,95006.0011590753
10628,Médio São Francisco,8/1987,400582.0355704185
10629,Alto São Francisco,8/1987,145759.58379493377
10626,Baixo São Francisco,9/1987,30597.737457834635
10627,Submédio São Francisco,9/1987,97221.88056096937
10628,Médio São Francisco,9/1987,402039.5126152431
10629,Alto São Francisco,9/1987,147442.89056228657
10626,Baixo São Francisco,10/1987,31057.05507409975
10627,Submédio São Francisco,10/1987,94597.98242637455
10628,Médio São Francisco,10/1987,402330.63443628704
10629,Alto São Francisco,10/1987,141346.49220036063
10626,Baixo São Francisco,11/1987,31594.832307439723
10627,Submédio São Francisco,11/1987,90757.79296245045
10628,Médio São Francisco,11/1987,393573.6250856338
10629,Alto São Francisco,11/1987,135697.29060768674
10626,Baixo São Francisco,12/1987,30538.56155380778
10627,Submédio São Francisco,12/1987,90054.5608023937
10628,Médio São Francisco,12/1987,398392.297732279
10629,Alto São Francisco,12/1987,134663.83685354042
10626,Baixo São Francisco,1/1988,33390.111901443874
10627,Submédio São Francisco,1/1988,145844.53591467938
10628,Médio São Francisco,1/1988,442763.4175659295
10629,Alto São Francisco,1/1988,136643.39202845297
10626,Baixo São Francisco,2/1988,31666.7418323011
10627,Submédio São Francisco,2/1988,146469.84307919326
10628,Médio São Francisco,2/1988,445113.9568792951
10629,Alto São Francisco,2/1988,140839.78494137214
