code,name,year,area_ha
10628,Médio São Francisco,2014,371269.9330702568
10629,Alto São Francisco,2014,92236.39291995628
10626,Baixo São Francisco,2015,20629.18939851608
10627,Submédio São Francisco,2015,116375.7981942896
10628,Médio São Francisco,2015,301196.6173623133
10629,Alto São Francisco,2015,95385.45287477366
10626,Baixo São Francisco,2016,19864.7906693362
10627,Submédio São Francisco,2016,117777.44273704317
10628,Médio São Francisco,2016,312527.7272804571
10629,Alto São Francisco,2016,97078.83863439408
10626,Baixo São Francisco,2017,19912.6268008665
10627,Submédio São Francisco,2017,114811.05816216215
10628,Médio São Francisco,2017,292536.1145261002
10629,Alto São Francisco,2017,93189.9064068156
10626,Baixo São Francisco,2018,19919.25190245519
10627,Submédio São Francisco,2018,121014.59241396518
10628,Médio São Francisco,2018,316471.39101617126
10629,Alto São Francisco,2018,105698.65015440398
10626,Baixo São Francisco,2019,19763.55703328038
10627,Submédio São Francisco,2019,120774.4768824293
10628,Médio São Francisco,2019,323100.2776826528
10629,Alto São Francisco,2019,119146.33506188104
10626,Baixo São Francisco,2020,20777.961440974173
10627,Submédio São Francisco,2020,132826.89759470374
10628,Médio São Francisco,2020,422757.6992508842
10629,Alto São Francisco,2020,129969.12142819942
10626,Baixo São Francisco,2021,19892.10394290442
10627,Submédio São Francisco,2021,127024.04405760496
10628,Médio São Francisco,2021,373499.0404335411
10629,Alto São Francisco,2021,117778.49013075807
