Ano,Pivô central,Outros sistemas
1985,160,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,86,
1999,137,
2000,140,
2001,140,
2002,185,
2003,180,
2004,179,
2005,179,
2006,176,
2007,175,
2008,175,
2009,176,
2010,231,
2011,260,
2012,262,
2013,267,
2014,273,
2015,281,
2016,274,
2017,275,
2018,269,
2019,352,
2020,565,
