Ano,1. Forest,1.1. Forest Formation,1.2. Savanna Formation,1.3. Mangrove,1.4. Wooded Restinga,2. Non Forest Natural Formation,2.1. Wetland,2.2. Grassland,2.3. Salt flat,2.4. Rocky outcrop,2.5. Other Non Forest Natural Formation,3. Farming,3.1. Pasture,3.2. Agriculture,3.2.1. Temporary Crops,3.2.1.1. Soybean,3.2.1.2. Sugar Cane,3.2.1.3. Rice,3.2.1.4. Other Temporary Crops,3.2.2. Perennial Crops,3.2.2.1. Coffee,3.2.2.2. Citrus,3.2.2.3. Other Perennial Crops,3.3. Forest Plantation,3.4. Mosaic of Agriculture and Pasture,4. Non Vegetated Area,4.1. Beach and Dune,4.2. Urban Area,4.3. Mining,4.4. Other Non Vegetated Area,5. Water,"5.1. River, Lake and Ocean",5.3. Aquaculture
1999,743151.2689,25993.35171,715043.5178,112.7438066,2001.655565,11448.17936,8893.987768,1274.338018,0.08794212,3.172265955,1276.593366,1716170.719,1526929.703,57807.99822,57807.99822,,57807.99822,,,,,,,,131433.0176,40008.80898,3251.878048,21027.02099,11.93137684,15717.97856,31051.77577,31051.77577,
2000,806406.4152,25210.5049,779015.707,109.5779014,2070.625317,12756.43656,9889.033446,1357.767191,1.319252301,4.40832937,1503.908338,1662220.126,1461885.912,57991.10928,57991.10928,,57991.10928,,,,,,,,142343.1045,33155.90488,3017.455619,21487.97818,13.16729812,8637.303786,27291.78102,27291.78102,
2001,812165.0297,25906.16412,783669.6007,108.5226388,2480.742237,12877.00524,10062.05515,1450.458618,1.759123621,7.934880865,1354.797466,1659053.042,1465579.369,58910.57457,58910.57457,,58907.48311,,3.091461462,,,,,,134563.0984,31101.94092,2818.217543,21804.60459,13.51901221,6465.599775,26633.3819,26633.3819,
2002,809385.7954,25946.49623,780827.8775,115.558271,2495.863376,13276.06994,9921.907666,2123.794833,4.309747174,31.28296158,1194.774728,1660400.484,1460011.363,58614.12907,58614.12907,,58605.03188,,9.097193494,,,,,,141774.9911,30825.12111,2907.12736,22108.17508,14.04688235,5795.771786,27943.01765,27943.01765,
2003,767456.4119,25888.65288,739026.9872,126.2892079,2414.482671,14525.79304,10028.64764,3137.546992,6.156634424,33.6634577,1319.778321,1700781.847,1483909.088,59267.52457,59267.52457,,59235.11093,,32.41364129,,,,,,157605.2338,31737.32685,3088.575424,22403.91709,19.32193417,6225.512403,27329.28521,27329.28521,
2004,772285.3967,26874.80891,742520.9388,131.1281499,2758.520844,15846.71671,9927.010939,4486.739698,5.892912268,36.56548353,1390.507675,1689455.707,1471256.548,59994.47704,59994.47704,,59934.86053,,59.6165101,,,,,,158204.682,33505.31466,3180.149643,22658.27391,22.92704749,7643.964053,30737.26493,30737.26493,
2005,788217.5196,27022.80186,758209.8894,131.3050953,2853.523208,16654.87069,10146.7793,5065.261628,4.749473499,41.93992166,1396.140367,1669746.519,1458869.668,60870.31582,60870.31582,,60781.37834,,88.93748604,,,,,,150006.5347,36305.02771,3046.813355,22921.42993,25.21695978,10311.56746,30905.05621,30903.12123,1.934979248
2006,849452.3811,28554.24178,817351.0595,132.1843018,3414.895514,17293.90962,10531.99618,4802.140476,8.003583282,52.25470622,1899.514667,1606896.333,1406966.67,61349.73534,61349.73534,,61229.96527,,119.7700764,,,,,,138579.9276,38027.74612,3004.601964,23230.31101,24.51118943,11768.32195,30159.41458,30157.4796,1.934979248
2007,844272.2085,29985.66175,810559.7435,117.9363748,3608.866872,17841.57703,10901.65351,4539.396945,6.860022339,29.25672561,2364.409825,1612412.024,1404860.833,61363.06828,61363.06828,,61109.55425,,253.5140295,,,,,,146188.1227,36335.51249,3066.265607,23465.69629,25.21453313,9778.336059,30968.63796,30966.70298,1.934979248
2008,866417.3093,30054.19636,832592.5016,105.4477196,3665.163549,19125.1211,10944.79482,5868.702815,9.498540894,85.67744952,2216.447481,1591709.458,1384256.099,60762.36488,60762.36488,,60481.47691,,280.8879722,,,,,,146690.9947,33710.7176,3063.961462,23738.39355,32.16398824,6876.198605,30866.65002,30864.71504,1.934979248
2009,909015.0504,28189.99423,877025.3279,109.2295575,3690.498774,19669.33223,11092.00464,6732.694691,12.8409105,15.59156785,1816.200415,1548823.332,1342153.555,60745.69216,60745.69216,,59844.74523,,900.9469266,,,,,,145924.0856,33779.59921,3076.351462,23945.17199,33.21770797,6724.858051,30541.94185,30540.00687,1.934979248
2010,929124.4411,31878.68816,893703.2395,121.1020618,3421.411386,17525.24627,10588.93992,5527.639222,15.65535738,16.7395783,1376.2722,1530857.235,1335879.341,61222.30858,61222.30858,,59943.17401,,1279.134571,,,,,,133755.5855,34718.14694,3083.652543,24157.46328,32.59868388,7444.432437,29605.76983,29603.83485,1.934979248
2011,873549.2728,35523.55775,834719.1386,121.6295805,3184.946895,15184.35702,10565.01223,3532.841673,13.28053434,6.434273553,1066.788311,1585915.361,1390591.991,61848.11269,61848.11269,,60327.47623,,1520.636454,,,,,3.166471265,133472.0914,38754.62372,3237.415729,24356.38139,32.33221201,11128.49438,28426.87316,28424.93818,1.934979248
2012,792700.9517,32421.88627,756915.313,121.4534119,3242.299078,14835.55016,10664.36803,3301.361972,6.244544135,3.437113788,860.1384998,1662825.38,1477343.201,63043.15681,63043.15681,,61222.85079,,1820.306023,,,,,3.166471265,122435.8548,44958.56699,3510.893201,24564.23656,29.51570935,16853.92152,26510.21524,26508.28026,1.934979248
2013,772653.9221,27648.22037,741486.6834,123.6520797,3395.366254,15212.0452,10972.14506,3392.348257,4.485579962,0.616809332,842.4494937,1676088.682,1504247.51,62621.78106,62621.78106,,60865.36325,,1756.417806,,,,,,109219.3906,53751.23718,3631.138858,24985.88214,25.55097217,25108.66521,24124.77768,24124.77768,
2014,765610.6024,29424.26274,732581.2973,130.160122,3474.88229,19168.92544,11025.02296,7279.197735,7.563839362,2.819808527,854.3210965,1680608.411,1522909.499,63311.60365,63311.60365,,61706.10319,,1605.500461,,,,,,94387.30879,53366.5017,3714.087239,25282.34546,24.49434153,24345.57466,23075.871,23075.871,
2015,753394.7616,30135.33914,719508.1836,133.0624414,3618.176418,20831.40377,11090.55517,8877.592204,6.772091797,20.90230943,835.5819984,1693475.834,1539077.301,63447.57795,63447.57795,,61293.41775,,2154.160202,,,,,,90950.95478,51602.1262,3787.544764,25540.90383,22.64845211,22251.02915,22525.74672,22200.22922,325.5175083
2016,744355.4213,28437.71003,712182.8396,129.368396,3605.50334,17362.21896,11071.84182,5470.543973,5.716677216,33.34012062,780.7763626,1709885.466,1546889.335,64201.97094,64201.97094,,60031.14209,,4170.82885,,,,,0.087979187,98794.07207,48364.73787,3893.101625,25773.43053,20.79642452,18677.40929,21862.55523,21535.89431,326.660922
2017,709046.7761,28330.16766,677229.1083,120.7493616,3366.750708,13554.5003,10999.18698,1765.017669,5.276950433,82.62577731,702.3929292,1751773.563,1587338.952,59789.2813,59789.2813,,55345.31734,,4443.963958,,,,,9.14730614,104636.1822,45213.23026,3998.572627,25942.62663,20.09023657,15251.94077,22242.41807,21916.28488,326.1331918
2018,750649.3273,28589.69833,718605.7396,120.3976224,3333.491735,14502.32213,11075.72391,2623.708214,4.749237238,88.52987838,709.6108986,1709195.818,1552405.01,58922.07693,58922.07693,,54448.86263,,4473.214296,,,,,11.7852678,97856.94542,45510.4887,3989.427366,26224.40484,19.73834878,15276.91815,21972.70754,21642.9682,329.7393456
2019,770303.093,29544.00435,737296.1404,119.6061077,3343.342138,14971.86983,11153.58502,3021.850707,3.957695935,133.8873502,658.5890486,1689727.7,1521897.399,60299.81026,60299.81026,,54687.736,,5612.074259,,,,,8.970707849,107521.5196,44699.01512,3982.738736,26270.43535,20.53219056,14425.30884,22128.98608,21797.31173,331.6743507
2020,720607.0487,32789.71506,683886.1267,119.8699062,3811.336976,22505.62538,11570.20637,9783.671932,0.615646246,355.8223487,795.3090829,1729586.282,1514460.167,59610.2319,59610.2319,,54726.64431,,4883.587583,,,,,1.23136272,155514.6519,45064.08405,3946.155867,26896.0288,20.26718931,14201.6322,24067.53508,23734.54142,332.993658
